Building_Type,Main_Function,Building_Size,EUI2020,EUI_Quartile__Energy_Ranking2020,EUI2021_,EUI_Quartile__Energy_Ranking_2021,EUI2022_,EUI_Quartile__Energy_Ranking_2022,TOP_CSC_Year,Award__Green_Non_Green_,Green_Mark_Version,GFA,AC_Area,AC_Area_Percentage,No_Of_Hotel_Room,AC_Type,Age__of_Chiller,Aircon_system_efficiency__kW_RT_
Commercial Building,Office,Large,285.0,Bottom Quartile,73,Top Quartile,1,Top Quartile,1986,Platinum,Existing Building for Non-Residential buildings (version 3),"56,369","64,356",114%,0,Water Cooled Chilled Water Plant,20.0,0.0
Commercial Building,Office,Large,133.0,2nd Quartile,131,2nd Quartile,141,2nd Quartile,2008,,,"15,847","14,047",89%,0,Others,0.0,0.0
Sports & Recreation Centre,Recreation Club,,146.0,,151,,150,,2017,Platinum,GM:2021 In Operation,"12,309","8,157",66%,0,Water-Cooled Package Units,0.0,0.0
Sports & Recreation Centre,Recreation Club,,32.0,,36,,37,,2003,,,"8,281","2,008",24%,0,Others,0.0,0.0
Commercial Building,Office,Large,174.0,3rd Quartile,171,3rd Quartile,174,3rd Quartile,1992,Gold,GM:2021 In Operation,"38,596","36,706",95%,0,Water Cooled Chilled Water Plant,3.0,0.605
Commercial Building,Office,Small,1056.82,,0,,0,,1995,,,"8,288",0,0%,0,,4.0,0.0
Commercial Building,Mixed Development,Large,314.99,,0,,0,,1990,Certified,Existing Building for Non-Residential buildings (version 3),"51,611",0,0%,0,,1.0,0.0
Commercial Building,Office,Large,211.0,3rd Quartile,220,Bottom Quartile,209,Bottom Quartile,2005,,,"16,616","9,195",55%,0,Air Cooled Chilled Water Plant,0.0,1.41
Sports & Recreation Centre,Recreation Club,,145.0,,159,,159,,2011,GoldPlus,Existing Non-Residental Buildings ENRB: 2017,"10,641","2,736",26%,0,Others,0.0,0.0
Commercial Building,Retail,Large,287.0,2nd Quartile,272,2nd Quartile,297,2nd Quartile,1979,Platinum,Existing Building for Non-Residential buildings (version 3),"46,816","43,903",94%,0,Water Cooled Chilled Water Plant,8.0,0.57
Educational Institution,Private School,,39.0,,37,,41,,2003,,Existing Building for Non-Residential buildings (version 3),"15,888","3,437",49%,40,Others,0.0,0.0
Commercial Building,Office,Large,163.41,,0,,0,,1995,Certified,Existing Non-Residental Buildings ENRB: 2017,"20,143",0,0%,0,,4.0,0.0
Commercial Building,Hotel,Small,230.83,,0,,0,,2013,,,"11,584",0,0%,0,,7.0,0.0
Commercial Building,Retail,Large,187.0,Top Quartile,196,2nd Quartile,217,2nd Quartile,2016,,,"19,970","16,646",83%,0,Others,0.0,0.0
Commercial Building,Mixed Development,,313.0,Bottom Quartile,324,Bottom Quartile,358,Bottom Quartile,1997,,,"10,938","8,185",75%,0,Air Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Hotel,,185.0,Top Quartile,219,2nd Quartile,205,2nd Quartile,2015,Platinum,New Building for Non-Residential buildings (version 4.1),"32,600","29,200",90%,1500,Water Cooled Chilled Water Plant,7.0,0.62
Commercial Building,Office,Large,184.6,,0,,0,,2011,Platinum,Existing Building for Non-Residential buildings (version 3),"95,992",0,0%,0,,8.75,0.0
Healthcare Facility,Specialist Clinic,,228.0,,245,,254,,2018,Platinum,New Building for Non-Residential buildings (version 4.1),"43,715","31,292",72%,0,Water Cooled Chilled Water Plant,5.0,0.58
Commercial Building,Retail,Large,190.04,,0,,0,,1983,,,"16,747",0,0%,0,,1.0,0.0
Commercial Building,Retail,Small,220.36,,0,,0,,1984,,,"8,199",0,0%,0,,1.0,0.0
Commercial Building,Office,Large,211.0,3rd Quartile,209,Bottom Quartile,189,3rd Quartile,1988,,,"23,278","22,000",95%,0,Water Cooled Chilled Water Plant,19.0,0.0
Commercial Building,Office,Large,160.0,2nd Quartile,156,3rd Quartile,160,3rd Quartile,1974,Gold,Existing Building for Non-Residential buildings (version 3),"1,16,055","1,10,000",95%,268,Water Cooled Chilled Water Plant,6.0,0.0
Commercial Building,Retail,Large,426.19,,0,,0,,1998,Gold,Existing Building for Non-Residential buildings (version 3),"24,182",0,0%,0,,8.0,0.0
Commercial Building,Office,Large,77.0,Top Quartile,78,Top Quartile,75,Top Quartile,1991,Platinum,Existing Building for Non-Residential buildings (version 3),"16,654","6,662",40%,0,Others,0.0,0.0
Commercial Building,Office,Medium,237.0,Bottom Quartile,161,3rd Quartile,142,2nd Quartile,2012,Certified,Existing Non-Residental Buildings ENRB: 2017,"4,121","4,121",100%,0,Others,0.0,0.0
Commercial Building,Office,,0.0,,0,,0,,2000,GoldPlus,Existing Building for Non-Residential buildings (version 3),"33,837","32,589",96%,0,Water Cooled Chilled Water Plant,4.0,0.65
Commercial Building,Retail,Large,321.0,2nd Quartile,341,2nd Quartile,330,2nd Quartile,2005,Certified,Existing Building for Non-Residential buildings (version 3),"94,391","79,687",84%,0,Water Cooled Chilled Water Plant,7.0,0.68
Commercial Building,Office,Large,176.38,,0,,0,,2005,GoldPlus,Existing Building for Non-Residential buildings (version 3),"27,562",0,0%,0,,3.0,0.0
Commercial Building,Hotel,Small,263.54,,0,,0,,2011,Platinum,Existing Building for Non-Residential buildings (version 3),"6,407",0,0%,0,,5.0,0.0
Commercial Building,Office,Large,94.0,Top Quartile,91,Top Quartile,89,Top Quartile,1982,Certified,Existing Building for Non-Residential buildings (version 3),"20,965","15,000",72%,0,Water Cooled Chilled Water Plant,8.0,0.721
Commercial Building,Office,Large,149.0,2nd Quartile,149,2nd Quartile,150,2nd Quartile,2013,Platinum,New Building for Non-Residential buildings (version 3),"1,15,395","1,02,171",89%,0,Water Cooled Chilled Water Plant,10.0,0.542
Commercial Building,Hotel,Small,254.89,,0,,0,,2016,,,"7,093",0,0%,0,,3.0,0.0
Commercial Building,Retail,Large,339.12,,0,,0,,1982,Gold,Existing Building for Non-Residential buildings (version 3),"25,772",0,0%,0,,4.0,0.0
Commercial Building,Office,Large,52.0,Top Quartile,48,Top Quartile,57,Top Quartile,1978,Certified,New Building for Non-Residential buildings (version 4.1),"20,916","14,101",67%,0,Others,0.0,0.0
Commercial Building,Retail,Large,259.91,,0,,0,,1987,Gold,Existing Building for Non-Residential buildings (version 3),"36,325",0,0%,0,,3.0,0.0
Commercial Building,Office,Large,0.0,,67,Top Quartile,198,3rd Quartile,2021,,,"80,102","67,798",85%,0,Water Cooled Chilled Water Plant,2.0,0.752
Commercial Building,Retail,Large,170.0,Top Quartile,159,Top Quartile,150,Top Quartile,1990,GoldPlus,GM:2021 In Operation,"9,250","8,953",97%,0,Water Cooled Chilled Water Plant,3.0,0.62
Sports & Recreation Centre,Recreation Club,,234.0,,224,,231,,1996,,,"12,450","7,000",56%,19,Water Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Hotel,Small,181.04,,0,,0,,1971,,,"14,950",0,0%,0,,5.0,0.0
Commercial Building,Hotel,Small,266.65,,0,,0,,2015,Legislated,,"8,140",0,0%,0,,5.0,0.0
Commercial Building,Office,Large,124.42,,0,,0,,1987,Platinum,Existing Building for Non-Residential buildings (version 3),"95,625",0,0%,0,,14.0,0.0
Commercial Building,Office,Large,103.0,,105,,89,,2000,GoldPlus,Existing Non-Residental Buildings ENRB: 2017,"17,642","12,224",69%,0,District Cooling System (DCS),0.0,0.18
Commercial Building,Office,Large,114.0,,118,,127,,2017,Platinum,Existing Non-Residential Buildings (RECERT 2017),"2,26,765","1,95,173",86%,0,District Cooling System (DCS),0.0,0.32
Commercial Building,Retail,Small,511.52,,0,,0,,1984,,,"13,568",0,0%,0,,16.0,0.0
Commercial Building,Office,Large,174.0,3rd Quartile,166,3rd Quartile,170,3rd Quartile,2017,,,"16,839","1,000",6%,0,Others,0.0,0.0
Commercial Building,Office,Large,153.6,,0,,0,,2018,Platinum,New Building for Non-Residential buildings (version 4.1),"76,208",0,0%,0,,0.0,0.0
Commercial Building,Office,Large,168.0,3rd Quartile,164,3rd Quartile,152,2nd Quartile,1997,GoldPlus,Existing Building for Non-Residential buildings (version 2.1),"64,846","51,932",80%,0,Water Cooled Chilled Water Plant,7.0,0.65
Commercial Building,Retail,Large,169.0,Top Quartile,172,Top Quartile,179,Top Quartile,2008,,,"22,913",0,0%,0,Others,0.0,0.0
"Civic, Community & Cultural Institution",Community Institution,,36.0,,38,,39,,2018,GoldPlus,GM:2021 In Operation,"11,201","2,697",24%,0,Others,0.0,0.0
Commercial Building,Hotel,,155.0,Top Quartile,162,Top Quartile,171,Top Quartile,1985,GoldPlus,Existing Building for Non-Residential buildings (version 3),"32,379","31,033",96%,415,Water Cooled Chilled Water Plant,13.0,0.67
Commercial Building,Office,Large,124.0,2nd Quartile,116,Top Quartile,107,Top Quartile,1986,Certified,Existing Building for Non-Residential buildings (version 3),"33,736","27,000",80%,0,Water Cooled Chilled Water Plant,3.0,0.69
Commercial Building,Office,Medium,169.0,3rd Quartile,201,3rd Quartile,201,2nd Quartile,1988,,,"12,021","12,021",100%,0,Water Cooled Chilled Water Plant,20.0,0.0
Commercial Building,Office,Medium,110.0,Top Quartile,102,Top Quartile,116,2nd Quartile,2009,,,"5,111","3,967",78%,0,Others,0.0,0.0
Commercial Building,Hotel,,202.0,2nd Quartile,222,3rd Quartile,234,3rd Quartile,2020,Gold,New Non-Residential Buildings (NRB: 2015) (R3),"35,642","25,000",70%,839,Water Cooled Chilled Water Plant,4.0,0.67
Commercial Building,Office,Large,213.32,,0,,0,,2014,GoldPlus,New Building for Non-Residential buildings (version 4),"62,328",0,0%,0,,0.0,0.0
Commercial Building,Office,Medium,75.0,Top Quartile,86,Top Quartile,83,Top Quartile,1930,,,"8,900","4,000",45%,0,Others,0.0,0.0
Commercial Building,Office,Large,0.0,,0,,157,,2022,GoldPlus,Non-Residential Buildings NRB: 2015,"19,792","15,075",76%,0,District Cooling System (DCS),0.0,0.0
"Civic, Community & Cultural Institution",Community Institution,,47.0,,47,,49,,2006,GoldPlus,Existing Building for Non-Residential buildings (version 3),"5,095",915,18%,0,Others,0.0,0.0
Commercial Building,Office,Small,41.08,,0,,0,,2011,Legislated,,"2,853",0,0%,0,,9.0,0.0
Commercial Building,Office,Large,147.0,2nd Quartile,145,2nd Quartile,154,2nd Quartile,1996,Gold,Existing Non-Residential Buildings (RECERT 2017),"22,518","18,014",80%,0,Water Cooled Chilled Water Plant,12.0,0.733
Commercial Building,Hotel,,276.0,Bottom Quartile,264,3rd Quartile,272,3rd Quartile,2017,,,"17,198","15,478",90%,314,Water Cooled Chilled Water Plant,6.0,0.0
Commercial Building,Office,Small,192.21,,0,,0,,1994,,,"7,526",0,0%,0,,21.0,0.0
Educational Institution,Univerisity,,147.0,,144,,161,,1999,,,"78,440","74,944",96%,0,Water Cooled Chilled Water Plant,7.0,0.632
Commercial Building,Hotel,Small,215.22,,0,,0,,2011,Gold,Existing Building for Non-Residential buildings (version 2.1),"13,539",0,0%,0,,8.0,0.0
Educational Institution,Private School,,182.0,,176,,189,,1976,Gold,,"5,378","5,656",100%,0,Water Cooled Chilled Water Plant,8.0,0.57
Commercial Building,Office,Medium,112.0,2nd Quartile,129,2nd Quartile,118,2nd Quartile,2013,,,"14,893","10,000",67%,0,Others,0.0,0.0
Healthcare Facility,Hospital,,323.0,,315,,320,,1975,Certified,Existing Building for Non-Residential buildings (version 3),"12,515","12,515",100%,0,Water Cooled Chilled Water Plant,4.0,0.75
Commercial Building,Office,Small,147.07,,0,,0,,2009,GoldPlus,Existing Building for Non-Residential buildings (version 2.1),"11,520",0,0%,0,,9.0,0.0
Commercial Building,Office,,0.0,,0,,0,,1998,Gold,Existing Building for Non-Residential buildings (version 3),"73,019","62,802",86%,0,District Cooling System (DCS),0.0,0.67
Commercial Building,Office,Medium,234.0,Bottom Quartile,235,Bottom Quartile,221,2nd Quartile,1995,,,"14,801","17,642",119%,0,Air Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Office,Small,132.69,,0,,0,,2015,,,"5,973",0,0%,0,,6.0,0.0
Commercial Building,Retail,Large,549.75,,0,,0,,2012,Gold,Existing Building for Non-Residential buildings (version 3),"26,974",0,0%,0,,2.0,0.0
Commercial Building,Office,Medium,89.0,Top Quartile,96,Top Quartile,117,2nd Quartile,1973,,,"11,481","10,000",87%,0,Water Cooled Chilled Water Plant,1.0,0.0
Commercial Building,Office,Large,55.0,Top Quartile,115,Top Quartile,143,2nd Quartile,2020,Platinum,Non-Residential Buildings NRB: 2015,"37,387","37,387",100%,0,Water Cooled Chilled Water Plant,4.0,0.604
Commercial Building,Retail,Large,542.34,,0,,0,,1996,,,"21,615",0,0%,0,,5.0,0.0
Commercial Building,Office,Large,116.42,,0,,0,,2000,Platinum,Existing Building for Non-Residential buildings (version 3),"41,499",0,0%,0,,3.0,0.0
Commercial Building,Office,Medium,0.0,,190,3rd Quartile,201,2nd Quartile,2021,,,"9,233","9,233",100%,0,Others,0.0,0.0
Commercial Building,Hotel,Small,335.69,,0,,0,,2018,Legislated,,"11,899",0,0%,0,,5.0,0.0
Commercial Building,Office,Small,140.58,,0,,0,,1985,,,"12,948",0,0%,0,,2.0,0.0
Commercial Building,Office,Large,172.0,3rd Quartile,172,3rd Quartile,177,3rd Quartile,1988,Gold,GM:2021 In Operation,"1,17,541","1,06,000",90%,0,Water Cooled Chilled Water Plant,5.0,0.623
Commercial Building,Office,Large,146.0,2nd Quartile,156,3rd Quartile,158,2nd Quartile,1999,Gold,Existing Non-Residential Buildings (RECERT 2017),"17,815","16,000",90%,0,Others,0.0,0.75
Commercial Building,Office,Large,183.13,,0,,0,,1998,Platinum,Existing Building for Non-Residential buildings (version 3),"1,02,898",0,0%,0,,5.0,0.0
Commercial Building,Office,Large,204.0,3rd Quartile,212,Bottom Quartile,225,Bottom Quartile,1979,Platinum,Existing Non-Residential Buildings (RECERT 2017),"1,10,520","79,182",72%,0,Water Cooled Chilled Water Plant,13.0,0.647
Commercial Building,Office,Large,100.98,,0,,0,,1999,,,"40,312",0,0%,0,,19.0,0.0
Commercial Building,Hotel,,217.0,2nd Quartile,204,2nd Quartile,232,2nd Quartile,2006,,,"8,651","6,728",78%,194,Water Cooled Chilled Water Plant,8.0,1.05
Commercial Building,Hotel,,206.0,2nd Quartile,230,3rd Quartile,236,3rd Quartile,1985,Platinum,GM:2021 In Operation,"31,224","25,000",80%,417,Water Cooled Chilled Water Plant,5.0,0.603
Commercial Building,Mixed Development,Large,344.66,,0,,0,,1985,,,"24,639",0,0%,0,,11.0,0.0
Sports & Recreation Centre,Recreation Club,,148.0,,174,,184,,1998,,,"11,710","5,000",43%,0,Water Cooled Chilled Water Plant,35.0,0.0
Commercial Building,Office,Small,208.59,,0,,0,,2014,Gold,Existing Building for Non-Residential buildings (version 3),"5,345",0,0%,0,,4.0,0.0
Healthcare Facility,Community Hospital/ Nursing Home,,144.0,,142,,149,,1996,,,"12,527","3,700",30%,0,Others,0.0,0.0
Commercial Building,Retail,Small,167.04,,0,,0,,1983,,,"5,338",0,0%,0,,8.0,0.0
Commercial Building,Office,Large,173.0,,167,,172,,2009,Platinum,Existing Building for Non-Residential buildings (version 3),"68,130","60,000",88%,0,District Cooling System (DCS),0.0,0.0
Commercial Building,Office,Large,116.0,Top Quartile,154,2nd Quartile,165,3rd Quartile,2009,Gold,GM:2021 In Operation,"18,565","14,762",80%,0,Others,0.0,0.0
Commercial Building,Office,Small,256.62,,0,,0,,1997,,,"11,291",0,0%,0,,1.0,0.0
Commercial Building,Office,Large,161.0,,151,,167,,2013,Platinum,New Building for Non-Residential buildings (version 3),"99,576","82,727",83%,305,District Cooling System (DCS),0.0,0.0
Commercial Building,Hotel,,179.0,Top Quartile,190,2nd Quartile,215,2nd Quartile,1999,Platinum,Existing Building for Non-Residential buildings (version 3),"51,726","38,713",75%,574,Water Cooled Chilled Water Plant,4.0,0.6
"Civic, Community & Cultural Institution",Community Institution,,21.0,,21,,22,,1991,,,"9,998",0,0%,0,Others,0.0,0.0
Commercial Building,Office,Large,150.74,,0,,0,,1989,,,"17,306",0,0%,0,,15.0,0.0
Commercial Building,Office,Large,37.41,,0,,0,,2015,Gold,New Building for Non-Residential buildings (version 4.1),"15,990",0,0%,0,,10.0,0.0
Commercial Building,Office,Small,80.88,,0,,0,,1964,,,"6,827",0,0%,0,,1.0,0.0
Commercial Building,Hotel,,245.0,3rd Quartile,183,Top Quartile,267,3rd Quartile,2016,,,"2,049","1,954",95%,70,Others,0.0,0.0
Commercial Building,Office,Small,115.42,,0,,0,,2011,GoldPlus,New Building for Non-Residential buildings (version 3),"5,030",0,0%,0,,9.0,0.0
Commercial Building,Office,Small,141.97,,0,,0,,2018,,,"11,658",0,0%,0,,1.0,0.0
Commercial Building,Office,Large,151.24,,0,,0,,1997,Gold,Existing Building for Non-Residential buildings (version 2.1),"15,724",0,0%,0,,18.0,0.0
Commercial Building,Hotel,Large,159.57,,0,,0,,1997,Platinum,Existing Building for Non-Residential buildings (version 3),"38,054",0,0%,0,,5.0,0.0
Commercial Building,Hotel,,340.0,Bottom Quartile,359,Bottom Quartile,406,Bottom Quartile,2006,GoldPlus,New Building (version 1),"27,089","6,940",26%,298,Water Cooled Chilled Water Plant,16.0,0.3
Healthcare Facility,Community Hospital/ Nursing Home,,138.0,,127,,120,,2017,,,"8,178","9,998",122%,0,Others,0.0,0.0
Commercial Building,Hotel,Omit,522.24,,0,,0,,1999,,,"63,959",0,0%,0,,0.0,0.0
Commercial Building,Mixed Development,Large,248.52,,0,,0,,1969,,,"38,986",0,0%,0,,5.0,0.0
Commercial Building,Office,Large,177.0,3rd Quartile,158,3rd Quartile,154,2nd Quartile,2001,Platinum,Existing Non-Residental Buildings ENRB: 2017,"42,127","34,000",81%,0,Water Cooled Chilled Water Plant,2.0,0.0
Commercial Building,Mixed Development,,289.0,3rd Quartile,287,Bottom Quartile,285,Bottom Quartile,1988,Gold,GM:2021 In Operation,"52,095","42,900",82%,384,Water Cooled Chilled Water Plant,5.0,0.0
Commercial Building,Office,Small,146.64,,0,,0,,1996,Platinum,Existing Building for Non-Residential buildings (version 3),"6,832",0,0%,0,,1.0,0.0
Commercial Building,Retail,Large,66.29,,0,,0,,2011,,,"26,208",0,0%,0,,7.0,0.0
Healthcare Facility,Specialist Clinic,,310.0,,317,,313,,2014,Platinum,Existing Non-Residential Buildings (RECERT 2017),"48,432","38,497",79%,0,Water-Cooled Package Units,0.0,0.65
Commercial Building,Office,Large,153.0,,158,,187,,2014,GoldPlus,Existing Non-Residential Buildings (RECERT 2017),"46,612","38,820",83%,0,District Cooling System (DCS),0.0,0.0
Commercial Building,Office,Medium,126.0,2nd Quartile,131,2nd Quartile,142,2nd Quartile,1985,Platinum,Existing Non-Residential Buildings (RECERT 2017),"7,669","7,110",93%,0,Water Cooled Chilled Water Plant,6.0,0.0
Commercial Building,Retail,Large,530.42,,0,,0,,1993,Certified,Existing Non-Residental Buildings ENRB: 2017,"34,009",0,0%,0,,18.0,0.0
Commercial Building,Office,Medium,214.0,3rd Quartile,203,3rd Quartile,220,2nd Quartile,2005,,,"13,098","9,195",70%,0,Air Cooled Chilled Water Plant,0.0,2.0
Commercial Building,Office,Medium,273.0,Bottom Quartile,267,Bottom Quartile,260,Bottom Quartile,2009,,,"12,875","12,763",99%,0,Air Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Office,Large,116.0,Top Quartile,119,Top Quartile,122,2nd Quartile,2000,Platinum,GM:2021 In Operation,"41,771","27,343",65%,0,Water Cooled Chilled Water Plant,6.0,0.691
"Civic, Community & Cultural Institution",Community Institution,,176.0,,175,,177,,2017,Platinum,Existing Non-Residental Buildings ENRB: 2017,"42,842","16,397",38%,0,Water Cooled Chilled Water Plant,6.0,0.57
Commercial Building,Office,,0.0,,0,,0,,2008,GoldPlus,Existing Building for Non-Residential buildings (version 3),"33,486","29,813",89%,0,District Cooling System (DCS),0.0,0.05
Commercial Building,Office,Large,142.0,2nd Quartile,137,2nd Quartile,142,2nd Quartile,2010,Platinum,Existing Building for Non-Residential buildings (version 3),"1,84,167","1,71,504",93%,0,Water Cooled Chilled Water Plant,13.0,0.61
Commercial Building,Hotel,Small,160.26,,0,,0,,1920,,,357,0,0%,0,,1.0,0.0
Commercial Building,Office,Medium,223.0,3rd Quartile,207,3rd Quartile,199,2nd Quartile,2007,,,"7,844","5,473",70%,0,Others,0.0,0.0
Sports & Recreation Centre,Sports Complex,,205.0,,151,,167,,1973,,,"13,745","2,000",15%,0,District Cooling System (DCS),0.0,0.0
Commercial Building,Office,Large,452.0,Bottom Quartile,423,Bottom Quartile,356,Bottom Quartile,1995,,,"30,809","29,361",95%,180,Water Cooled Chilled Water Plant,17.0,0.0
Commercial Building,Hotel,,199.0,2nd Quartile,198,2nd Quartile,231,2nd Quartile,2013,,,"22,540","21,363",95%,229,Water Cooled Chilled Water Plant,9.0,0.65
Commercial Building,Office,Large,210.41,,0,,0,,1992,,,"16,105",0,0%,0,,9.0,0.0
Commercial Building,Office,Medium,186.0,3rd Quartile,188,3rd Quartile,190,2nd Quartile,1997,Gold,Existing Building for Non-Residential buildings (version 3),"13,889","10,279",74%,0,Water Cooled Chilled Water Plant,5.0,0.62
Commercial Building,Retail,Medium,215.0,Top Quartile,179,Top Quartile,189,Top Quartile,1992,Gold,Existing Building for Non-Residential buildings (version 3),"5,907","4,726",80%,0,Water Cooled Chilled Water Plant,5.0,0.675
Commercial Building,Office,,0.0,,0,,0,,1994,GoldPlus,Existing Non-Residential Buildings (RECERT 2017),"8,394","10,962",131%,0,Water Cooled Chilled Water Plant,9.0,0.6
Commercial Building,Office,Large,1157.4,,0,,0,,2015,Platinum,New Building for Non-Residential buildings (version 3),"19,173",0,0%,0,,0.0,0.0
Commercial Building,Retail,Large,360.79,,0,,0,,2014,Gold,New Building for Non-Residential buildings (version 4),"28,938",0,0%,0,,7.0,0.0
Commercial Building,Retail,Large,31.0,Top Quartile,7,Top Quartile,13,Top Quartile,2007,,,"51,909","51,909",100%,0,Water Cooled Chilled Water Plant,15.0,0.0
Healthcare Facility,Polyclinic/ Private Clinic,,154.0,,151,,160,,1990,,,"5,592","5,592",100%,0,Others,0.0,0.0
Commercial Building,Retail,Small,489.06,,0,,0,,1997,,,"9,544",0,0%,0,,13.0,0.0
Commercial Building,Hotel,,213.0,2nd Quartile,209,2nd Quartile,209,2nd Quartile,1988,Gold,Existing Non-Residential Buildings (Version 2.1),"59,329","57,735",97%,939,Water Cooled Chilled Water Plant,23.0,0.78
Commercial Building,Office,Large,495.97,,0,,0,,2007,Platinum,New Building (version 1),"20,619",0,0%,0,,10.0,0.0
"Civic, Community & Cultural Institution",Civic Institution,,193.0,,182,,178,,2006,Platinum,Existing Building for Non-Residential buildings (version 3),"39,982","13,673",34%,0,Water Cooled Chilled Water Plant,2.0,0.62
Commercial Building,Office,Large,128.0,2nd Quartile,124,2nd Quartile,123,2nd Quartile,1997,Gold,Existing Building for Non-Residential buildings (version 3),"36,836","30,882",84%,0,Water Cooled Chilled Water Plant,5.0,0.65
Commercial Building,Retail,Large,403.0,3rd Quartile,444,3rd Quartile,444,3rd Quartile,2009,Gold,Existing Non-Residential Buildings (RECERT 2017),"87,354","82,000",94%,0,Water Cooled Chilled Water Plant,14.0,0.725
"Civic, Community & Cultural Institution",Community Institution,,58.0,,68,,68,,2017,,,"4,249","3,000",71%,0,Water-Cooled Package Units,0.0,4.0
Commercial Building,Mixed Development,Small,313.08,,0,,0,,1997,,,"10,938",0,0%,0,,1.0,0.0
"Civic, Community & Cultural Institution",Civic Institution,,135.0,,130,,133,,2020,Platinum,Existing Building for Non-Residential buildings (version 3),"19,100",0,0%,0,Water Cooled Chilled Water Plant,4.0,0.0
Commercial Building,Office,Large,167.74,,0,,0,,1997,GoldPlus,Existing Building for Non-Residential buildings (version 3),"18,451",0,0%,0,,7.0,0.0
Commercial Building,Retail,Large,206.0,2nd Quartile,175,Top Quartile,187,Top Quartile,1981,Gold,Existing Non-Residental Buildings ENRB: 2017,"21,004","21,000",100%,0,Water Cooled Chilled Water Plant,3.0,0.74
Commercial Building,Office,Large,177.0,,162,,96,,2003,GoldPlus,Existing Building for Non-Residential buildings (version 3),"15,996","14,000",88%,0,District Cooling System (DCS),0.0,0.0
Sports & Recreation Centre,Sports Complex,,96.0,,94,,103,,2000,Gold,Existing Non-Residential Buildings (ENRB: 2017),"18,893",865,5%,0,Others,0.0,0.0
Commercial Building,Mixed Development,Large,123.42,,0,,0,,1975,Certified,Existing Building for Non-Residential buildings (version 3),"42,809",0,0%,0,,5.0,0.0
Commercial Building,Hotel,Large,330.76,,0,,0,,2011,GoldPlus,New Building for Non-Residential buildings (version 3),"18,986",0,0%,0,,9.0,0.0
"Civic, Community & Cultural Institution",Community Institution,,66.0,,63,,63,,1975,,,942,654,69%,0,Others,0.0,0.0
Commercial Building,Office,Large,298.43,,0,,0,,1998,GoldPlus,Existing Building for Non-Residential buildings (version 3),"36,196",0,0%,0,,4.0,0.0
Healthcare Facility,Community Hospital/ Nursing Home,,92.0,,88,,89,,2016,,,"10,992",1,0%,0,Air Cooled Chilled Water Plant,0.0,0.0
Sports & Recreation Centre,Recreation Club,,43.0,,46,,53,,2008,,,"1,41,719","6,270",4%,26,Others,0.0,0.0
Commercial Building,Office,Large,378.0,Bottom Quartile,391,Bottom Quartile,397,Bottom Quartile,1986,GoldPlus,Existing Building for Non-Residential buildings (version 2.1),"44,934","41,000",91%,0,Water Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Retail,Small,51.4,,0,,0,,1996,Certified,Existing Non-Residental Buildings ENRB: 2017,"6,100",0,0%,0,,4.0,0.0
Commercial Building,Office,Large,171.36,,0,,0,,1997,,,"31,031",0,0%,0,,20.0,0.0
Commercial Building,Retail,Small,458.86,,0,,0,,2011,,,"10,967",0,0%,0,,9.0,0.0
Commercial Building,Office,Medium,0.0,,0,,0,,2013,Platinum,Existing Non-Residental Buildings ENRB: 2017,"9,606","6,077",63%,0,Water Cooled Chilled Water Plant,11.0,0.0
Commercial Building,Office,Large,172.0,,0,,0,,2013,Platinum,New Building for Non-Residential buildings (version 3),"1,00,096",0,0%,0,,6.0,0.0
Commercial Building,Mixed Development,Large,170.32,,0,,0,,2019,GoldPlus,Non-Residential Buildings NRB: 2015,"22,162",0,0%,0,,1.0,0.0
Commercial Building,Office,Medium,136.0,2nd Quartile,155,3rd Quartile,92,Top Quartile,1999,,,"11,470","4,500",39%,0,Air Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Office,Large,237.65,,0,,0,,1992,GoldPlus,Existing Building for Non-Residential buildings (version 3),"1,00,125",0,0%,0,,5.0,0.0
Commercial Building,Office,Small,220.19,,0,,0,,1999,,,"2,295",0,0%,0,,2.0,0.0
Commercial Building,Office,Small,122.18,,0,,0,,1999,,,"12,709",0,0%,0,,20.0,0.0
Commercial Building,Office,Medium,148.0,3rd Quartile,160,3rd Quartile,182,2nd Quartile,1900,Platinum,Existing Non-Residential Buildings (RECERT 2017),"8,292","5,981",72%,0,Others,0.0,0.0
Commercial Building,Retail,Large,529.9,,0,,0,,2015,GoldPlus,New Building for Non-Residential buildings (version 4.1),"50,399",0,0%,0,,4.0,0.0
Commercial Building,Office,,0.0,,0,,0,,2008,GoldPlus,Existing Building for Non-Residential buildings (version 3),"19,872","19,872",100%,0,District Cooling System (DCS),0.0,0.05
"Civic, Community & Cultural Institution",Community Institution,,111.0,,182,,148,,2012,,,"4,175","2,922",70%,0,Others,0.0,0.0
Commercial Building,Office,Large,129.43,,0,,0,,1992,Platinum,Existing Building for Non-Residential buildings (version 3),"22,368",0,0%,0,,4.0,0.0
